 STJOKX         567  27.7% uru rus fra cro bra sui bel eng, fra cro bra eng, fra eng bra fra 
   MIBJ         470  22.9% uru rus fra cro bra sui bel col, fra cro bra sui, bra sui fra bra 
   MYSJ         460  22.5% uru rus fra cro bra sui bel eng, fra cro bra sui, bra sui cro sui 
   JOMA         158   7.7% uru rus fra cro bra sui bel eng, fra cro bra sui, bra sui fra bra 
 STMIBO         105   5.1% uru rus fra cro bra sui bel eng, fra cro bra sui, bra sui cro bra 
   ANNY          88   4.3% uru rus fra cro bra sui bel eng, fra cro bel sui, bel sui fra bel 
 STSTAA          84   4.1% uru rus fra cro bra sui bel eng, fra cro bra sui, bra cro sui bra 
   DASH          72   3.5% uru rus fra cro bra sui bel eng, fra cro bra sui, fra sui bra sui 
   STWU          40   2.0% uru rus fra cro bra sui bel col, fra cro bel sui, bel sui fra bel 
   HANO           4   0.2% uru rus fra cro bra sui jpn col, fra cro jpn sui, jpn cro sui jpn 
   sum:      2048.0
