   JOMA          12  18.7% fra cro bel eng, bel eng fra bel 
   MYSJ          12  18.4% fra cro bel eng, fra eng bel fra 
 STJOKX          12  18.4% fra cro bel eng, bel eng fra bel 
   DASH           8  11.8% fra cro bel eng, fra eng bel fra 
   ANNY           6   9.3% fra cro bel eng, bel eng fra bel 
 STSTAA           4   6.8% fra cro bel eng, fra eng bel fra 
   HEGR           3   4.7% fra cro bel eng, bel cro fra bel 
   STWU           3   5.0% fra cro bel eng, bel eng fra bel 
 STMIBO           2   2.5% fra cro bel eng, bel eng fra bel 
   CLWF           1   2.2% fra cro bel eng, fra cro eng fra 
   MIBJ           1   2.2% fra cro bel eng, fra cro eng cro 
   sum:        64.0
